R;8300;8324;14
R;1900;2000;357.4
R;2000;9400;2596.4
R;3600;4600;938.4
R;8000;3400;1526.6
R;8311;8300;88.2
R;9103;9400;1161.8
R;3300;9410;4068
R;3600;5500;1616.4
R;3100;5400;1006.1
R;8403;8311;323.8
R;3000;2000;173
R;5700;8300;769.4
R;5700;5000;397.1
R;5000;4600;911.1
R;4000;4600;345.5
R;4000;4200;161.5
R;3600;4200;762.9
R;9103;2000;1461.2
R;9103;9410;1734
R;3300;5500;1689.8
R;1744;1638;45.3
R;1638;8000;643
R;3100;3400;577
R;5300;3400;1022
R;5300;8300;1289.6
R;5000;8300;1108.6
R;6300;8000;327
R;9400;9410;579.4
R;9103;8300;743.3
R;9103;5500;1572
R;5700;5500;258
R;1744;1900;71.7
R;3000;8000;923.5
R;4700;5400;596
R;3500;6300;1330.1
R;8500;9400;1641.8
R;4400;4600;136.3
R;5000;4400;875.7
R;1900;1638;71.3
